Name,FM,Census Tracts,Population,Land area (km2),Density (people/km2),% Change in Population since 2001,Average Income,Transit Commuting %,% Renters,Second most common language (after English) by name,Second most common language (after English) by percentage,Map
Toronto CMA Average,,All,5113149,5903.63,866,9,40704.00,10.6,11.4,,,
Agincourt,S,"0377.01, 0377.02, 0377.03, 0377.04, 0378.02, 0378.08, 0378.14, 0378.23, 0378.24",44577,12.45,3580,4.6,25750.00,11.1,5.9,Cantonese (19.3%),19.3% Cantonese,Agincourt map.PNG
Alderwood,E,"0211.00, 0212.00",11656,4.94,2360,-4,35239.00,8.8,8.5,Polish (6.2%),06.2% Polish,
Alexandra Park,OCoT,39,4355,0.32,"13,609",0,19687.00,13.8,28,Cantonese (17.9%),17.9% Cantonese,Alexandra Park map.PNG
Allenby,OCoT,140,2513,0.58,4333,-1,245592.00,5.2,3.4,Russian (1.4%),01.4% Russian,
Amesbury,NY,"0280.00, 0281.01, 0281.02",17318,3.51,"4,934",1.1,27546.00,16.4,19.7,Spanish (6.1%),06.1% Spanish,Amesbury map.PNG
Armour Heights,NY,298,4384,2.29,1914,2,116651.00,10.8,16.1,Russian (9.4%),09.4% Russian,Armour Heights map.PNG
Banbury,NY,267,6641,2.72,2442,5,92319.00,6.1,4.8,Unspecified Chinese (5.1%),05.1% Unspecified Chinese,
Bathurst Manor,NY,"0297.01, 0310.01, 0310.02",14945,4.69,3187,12.3,34169.00,13.4,18.6,Russian (9.5%),09.5% Russian,Bathurst Manor map.PNG
Bay Street Corridor,OCoT,62.01,4787,0.11,"43,518",3,40598.00,17.1,49.3,Mandarin (9.6%),09.6% Mandarin,
Bayview Village,NY,"0305.01, 305.02",12280,4.14,"2,966",41.6,46752.00,14.4,15.6,Cantonese (8.4%),08.4% Cantonese,Bayview Village.PNG
Bayview Woods – Steeles,NY,"0323.01, 0323.02, 0324.01",13298,4.07,3267,-1.5,41485.00,11.2,13.9,Cantonese (9.3%),09.3% Cantonese,Bayview Woods-Steeles.PNG
Bedford Park,OCoT,"0141.01, 0141.02, 0142.00",13749,2.27,6057,-1.4,80827.00,15.2,10.1,Greek (0.7%),00.7% Greek,Bedford Park map.PNG
Bendale,S,"0353.02, 0354.00, 0367.02, 0368.00, 0369.00",28945,8.49,3409,12.9,29723.00,13,10.4,Tamil (3.7%),03.7% Tamil,Bendale map.PNG
Birch Cliff,S,"0338.00, 0339.00",12266,3.48,3525,-3,48965.00,11.4,15.2,Unspecified Chinese (0.9%),00.9% Unspecified Chinese,Birch Cliff.PNG
Bloor West Village,OCoT,104,5175,0.74,6993,-2,55578.00,20.7,8.3,Ukrainian (3.6%),03.6% Ukrainian,
Bracondale Hill,OCoT,114,5343,0.62,8618,-3,41605.00,18.2,24.2,Greek (4.8%),04.8% Greek,Bracondale map.PNG
Branson,NY,"0309.00, 0317.05",8017,1.25,6414,-3.8,27156.00,18,27.2,Russian (24.1%),24.1% Russian,Westminster Branson.png
Bridle Path,NY,264,1540,3.46,445,11,314107.00,7.1,2.3,Cantonese (12.0%),12.0% Cantonese,Bridle Path map.PNG
Brockton,OCoT,"0046.00, 0053.00",9039,1.1,8217,-9.5,27260.00,22.3,17.3,Portuguese (19.9%),19.9% Portuguese,Brockton map.png
Cabbagetown,OCoT,"0066.00, 0067.00, 0068.00",11120,1.4,7943,5.3,50398.00,18.5,29.6,Unspecified Chinese (1.6%),01.6% Unspecified Chinese,Cabbagetown map.PNG
Caribou Park,NY,277,4097,1.02,4017,-2,103703.00,8.4,7.6,Tagalog (2.9%),02.9% Tagalog,
Carleton Village,OCoT,108,6544,0.74,8843,-4,23301.00,19,19.9,Portuguese (17.0%),17.0% Portuguese,Carleton Village map.png
Casa Loma,OCoT,118,3597,0.67,5369,23,82203.00,18.1,32.9,Korean (1.8%),01.8% Korean,Casa Loma map.PNG
Centennial,E,"0236.01, 0236.02",12565,4.94,2544,0.5,34867.00,11.5,8.8,Polish (2.7%),02.7% Polish,
